ticker,name,price,marketcap,volume,volumeavg,priceopen,low,high,close,change,changepct,closeyest,date,high52,low52,beta,shares,pe,eps,sector,industry,description,exchange,ceo,country,ipodate,isEtf,isFund,isActive,web_url,image,currency,employees,city,state,phone,address,dividend_yield,fetched_at
AAPL,Apple Inc.,294.8,4329832448000,43943518,43758728,292.755,292.615,295.27,294.8,2.1200000000000045,0.7243,292.68,2026-05-13,295.27,193.46,1.065,14687356000,35.733334,8.25,Technology,Consumer Electronics,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listenin",NMS,Mr. Timothy D. Cook,United States,,FALSE,FALSE,TRUE,https://www.apple.com,,USD,166000,Cupertino,CA,(408) 996-1010,One Apple Park Way,0.37,2026-05-13T00:44:46
MSFT,Microsoft Corporation,407.77,3029092794368,37247511,33988995,414.415,406.74,415.5,407.77,-4.890000000000043,-1.185,412.66,2026-05-13,555.45,356.28,1.093,7428434704,24.272024,16.8,Technology,Software - Infrastructure,"Microsoft Corporation develops and supports software, services, devices, and solutions worldwide. The Productivity and Business Processes segment offers Microsoft 365 commercial, enterprise mobility + security, windows commercial, power BI, exchange, sharepoint, Microsoft teams, security and compliance, and copilot; Microsoft 365 commercial products, such as Windows commercial on-premises and office licensed services; Microsoft 365 consumer products and cloud services, including Microsoft 365 consumer subscriptions, office licensed on-premises, and other consumer services; LinkedIn; dynamics products and cloud services, such as dynamics 365, cloud-based applications, and on-premises ERP and CRM applications. Its Intelligent Cloud segment provides Server products and cloud services comprising Azure and other cloud services, GitHub, Nuance Healthcare, virtual desktop offerings, and other cloud services; server products, including SQL and windows server, visual studio and system center re",NMS,Mr. Satya  Nadella,United States,,FALSE,FALSE,TRUE,https://www.microsoft.com,,USD,228000,Redmond,WA,425 882 8080,One Microsoft Way,0.88,2026-05-13T00:44:46
NVDA,NVIDIA Corporation,220.78,5366057795584,157919130,170682885,218.545,214.92,223.75,220.78,1.3400000000000034,0.6106,219.44,2026-05-13,223.75,124.47,2.244,24300000000,45.149284,4.89,Technology,Semiconductors,"NVIDIA Corporation operates as a data center scale AI infrastructure company. The company operates through two segments, Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and autonomous and electric vehicle solutions, including software. The Graphics segment offers GeForce GPUs for gaming and PCs; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics. The company's products are used in gaming, professional visualization, data center, and automotive markets. The company sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants worldwide. It has a collaboration wi",NMS,Mr. Jen-Hsun  Huang,United States,,FALSE,FALSE,TRUE,https://www.nvidia.com,,USD,42000,Santa Clara,CA,408 486 2000,2788 San Tomas Expressway,0.02,2026-05-13T00:44:46
GOOGL,Alphabet Inc.,387.35,4692917092352,25550827,29620103,387.12,382.77,388.52,387.35,-1.2899999999999636,-0.3319,388.64,2026-05-13,402.0,156.16,1.267,5823665113,29.568703,13.1,Communication Services,Internet Content & Information,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for ente",NMS,Mr. Sundar  Pichai,United States,,FALSE,FALSE,TRUE,https://abc.xyz,,USD,194668,Mountain View,CA,650-253-0000,1600 Amphitheatre Parkway,0.23,2026-05-13T00:44:46
GOOG,Alphabet Inc.,383.82,4650149871616,16991394,19495526,385.1,379.72,386.44,383.82,-2.9499999999999886,-0.7627,386.77,2026-05-13,398.37,157.58,1.267,5456000000,29.27689,13.11,Communication Services,Internet Content & Information,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for ente",NMS,Mr. Sundar  Pichai,United States,,FALSE,FALSE,TRUE,https://abc.xyz,,USD,194668,Mountain View,CA,650-253-0000,1600 Amphitheatre Parkway,0.23,2026-05-13T00:44:46
META,"Meta Platforms, Inc.",603.0,1530669301760,11241135,15474548,594.415,592.65,603.745,603.0,4.139999999999986,0.6913,598.86,2026-05-13,796.25,520.26,1.243,2196045588,21.93525,27.49,Communication Services,Internet Content & Information,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people closer through Instagram feed, stories, reels, live, and messaging; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; Meta AI, an assistant that's available across apps, as a stand-alone app, on AI glasses, and on the web; Threads, an application for text-based updates and public conversations; and WhatsApp, a messaging application that is used ",NMS,Mr. Mark Elliot Zuckerberg,United States,,FALSE,FALSE,TRUE,https://www.meta.com,,USD,77986,Menlo Park,CA,650 543 4800,1 Meta Way,0.35,2026-05-13T00:44:46
AMZN,"Amazon.com, Inc.",265.82,2859454955520,36510491,47715751,266.27,262.63,267.65,265.82,-3.170000000000016,-1.1785,268.99,2026-05-13,278.56,196.0,1.468,10757109436,31.758663,8.37,Consumer Cyclical,Internet Retail,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, fire tablets, fire TVs, echo, ring, blink, and eero; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, Artificial intelligence, database, analytics, machine learning, and other services, as well as advertising services through programs, such as sponsored ads, display, and video advertising. Additionally, the company offers Amazon Prime, a membership pr",NMS,Mr. Andrew R. Jassy,United States,,FALSE,FALSE,TRUE,https://www.amazon.com,,USD,1575000,Seattle,WA,206 266 1000,410 Terry Avenue North,0.0,2026-05-13T00:44:46
TSLA,"Tesla, Inc.",433.45,1627918565376,59446395,62688196,441.41,422.3,447.8,433.45,-11.627800000000036,-2.6125,445.0778,2026-05-13,498.83,273.21,1.793,3755723871,405.09344,1.07,Consumer Cyclical,Auto Manufacturers,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The company offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty maintenance services and collision, automotive insurance services, as well as part sales and retail merchandise sale. It also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. In addition, the company engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related s",NMS,Mr. Elon R. Musk,United States,,FALSE,FALSE,TRUE,https://www.tesla.com,,USD,134785,Austin,TX,512 516 8177,1 Tesla Road,0.0,2026-05-13T00:44:46
AVGO,Broadcom Inc.,419.3,1985246396416,17651758,24132363,423.43,408.41,429.34,419.3,-9.129999999999995,-2.131,428.43,2026-05-13,437.68,221.6,1.44,4734668184,81.575874,5.14,Technology,Semiconductors,"Broadcom Inc. designs, develops, and supplies various semiconductor devices and infrastructure software solutions internationally. The company operates in two segments: Semiconductor Solutions and Infrastructure Software. The company offers networking connectivity, such as custom silicon solutions, ethernet switching & routing, ethernet NIC controllers, physical layer devices, and fiber optic components; wireless device connectivity, including RF semiconductor devices, connectivity solutions, custom touch controllers, and inductive charging ASICS; servers and storage system solutions, such as PCIE switches, SAS & raid products, fibre channel products, and HDD & SSD solutions; broadband solutions, includes set-top box, and broadband access; and industrial. The company also offers a private cloud software portfolio, including the VMware Cloud Foundation, Edge, vSphere foundation, telco cloud platform, private AI, live recovery, application networking and security, application development",NMS,Mr. Hock E. Tan,United States,,FALSE,FALSE,TRUE,https://www.broadcom.com,,USD,33000,Palo Alto,CA,650 427 6000,3421 Hillview Ave,0.61,2026-05-13T00:44:46
ORCL,Oracle Corporation,186.83,537331695616,21369449,28137886,192.92,180.8701,192.92,186.83,-7.009999999999991,-3.6164,193.84,2026-05-13,345.72,134.57,1.544,2876046000,33.60252,5.56,Technology,Software - Infrastructure,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning ERP, Oracle Fusion cloud enterprise performance management EPM, Oracle Fusion cloud supply chain and manufacturing management SCM, Oracle Fusion cloud human capital management HCM, and NetSuite applications suite, Oracle Health applications, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle cloud license and on-premise license; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' inf",NYQ,Mr. Michael D. Sicilia,United States,,FALSE,FALSE,TRUE,https://www.oracle.com,,USD,162000,Austin,TX,(737) 867-1000,2300 Oracle Way,1.03,2026-05-13T00:44:46
AAPL,Apple Inc.,294.8,4329832448000,43943518,43758728,292.755,292.615,295.27,294.8,2.1200000000000045,0.7243,292.68,2026-05-13,295.27,193.46,1.065,14687356000,35.733334,8.25,Technology,Consumer Electronics,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listenin",NMS,Mr. Timothy D. Cook,United States,,FALSE,FALSE,TRUE,https://www.apple.com,,USD,166000,Cupertino,CA,(408) 996-1010,One Apple Park Way,0.37,2026-05-13T00:44:46
NVDA,NVIDIA Corporation,220.78,5366057795584,157919130,170682885,218.545,214.92,223.75,220.78,1.3400000000000034,0.6106,219.44,2026-05-13,223.75,124.47,2.244,24300000000,45.149284,4.89,Technology,Semiconductors,"NVIDIA Corporation operates as a data center scale AI infrastructure company. The company operates through two segments, Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and autonomous and electric vehicle solutions, including software. The Graphics segment offers GeForce GPUs for gaming and PCs; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics. The company's products are used in gaming, professional visualization, data center, and automotive markets. The company sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants worldwide. It has a collaboration wi",NMS,Mr. Jen-Hsun  Huang,United States,,FALSE,FALSE,TRUE,https://www.nvidia.com,,USD,42000,Santa Clara,CA,408 486 2000,2788 San Tomas Expressway,0.02,2026-05-13T00:44:46
